period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y,va,i,l,tbsm-0,tbsf-0
10,340.8633327999359039,437.9054239421319039,18.1028701334315443,83.4095156933224899,-1.5123858267540444,-12.4144249651674521,78.7678726596360406,2.2210100380468001,126.9553139160050250,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,648.1938210014511696,341.5202946555110657,62.4420103091904721,192.3491071849650211,-1.4960145558861229,-0.0163712708679217
11,354.4441398184712284,447.5150767815869699,18.4563301466017791,82.9888775559723229,-1.4452077025741661,-13.9304291692687610,80.0652485189132932,3.0432017717919368,124.8981322731766994,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,673.8291836981894676,355.0270519526796988,66.1297799441684049,195.3769696262928335,-1.4415791354683458,-0.0036285671058203
12,370.6045684317403470,461.4691879748189649,18.9813810853534441,82.4055595059947166,-1.3869405913481072,-15.3644642365412309,81.1197718751233054,2.9482586439267600,123.2745084070763824,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,704.4057174380549213,371.1372129478114630,71.0554244286552432,198.7662834274110537,-1.3959339712561909,0.0089933799080836
13,381.0925868023304020,472.3138963007029929,18.9085394474304849,82.4508890347976831,-1.3594284822281770,-16.8493140288703209,81.4787129318935257,2.9526386241870650,122.7314428537771533,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,724.2923158713418843,381.6150619130159498,72.7667314268568646,200.8606644667601984,-1.3766127282217322,0.0171842459935550
14,393.0732501296022292,483.7241385389144739,18.9039595158893015,82.4186046510691739,-1.3225641669585197,-18.3041851489352076,82.0255366504691068,3.9613442675030530,121.9132529740396791,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,746.9901270410784946,393.5740823596274822,75.0066240439442851,202.9698127246819581,-1.3497975396110999,0.0272333726525802
15,421.2238156938931297,506.7799373835538859,20.1602661279339443,81.0707055558361986,-1.2309716837700393,-19.4759480874474100,83.7985716122770583,2.4180767762021382,119.3337763114680001,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,800.2614608005625314,421.6416772869020519,85.6154788840643448,208.5228452546971312,-1.2776044152421238,0.0466327314720845
16,444.5282239260988604,519.6556045103261567,20.8347821327081490,80.2806346139509941,-1.1154167466591534,-20.6821610273297338,86.1163513021168257,3.1913800515360302,116.1219657915789156,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,844.2814753281029425,444.8349380757176164,93.2374097373277237,211.8560733690829920,-1.1868091671945882,0.0713924205354350
17,460.6457069408050415,533.0460076249881922,20.9117363598903765,80.1487992009980275,-1.0605355608884830,-21.9281794754576893,86.9532915021160022,3.2051925678963533,115.0042721471521645,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,874.8123204704507998,460.9210266672240550,96.9261173609531710,213.1962941411212000,-1.1477122623070293,0.0871767014185462
18,477.0359895754930335,546.6760962028722588,20.9725508429398353,80.0348296746673498,-1.0073805176071811,-23.1340066385639247,87.7607888430093226,3.2042769243448843,113.9461043118980257,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,905.8655167408755915,477.2823315681035865,100.6194313660044486,214.2798647382418835,-1.1100525112481214,0.1026719936409404
19,493.7751369129103978,560.5321567974251593,21.0230723594544742,79.9322754074335364,-0.9553477668880999,-24.2990597192341617,88.5549957270365411,3.1849737249435739,112.9241768677193107,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,937.5839635083582380,493.9941435833890182,104.3541641747576421,215.1787057636100826,-1.0732926538271021,0.1179448869390023
