period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y,va,i,l,tbsm-1,tbsf-1
39,253.5198110009792742,255.2832233595667049,19.4388758899030947,80.5594337224631403,0.0016903876338105,131.7146616772463972,94.6358218312055044,2.9495793135275505,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,455.3725402926859260,253.5724728968988870,49.6241889566102685,84.5149894536195632,1.3731002685330513,-1.3714098808992408
40,259.3281761662260578,261.3150508667366125,19.4901516886836603,80.6173433821875705,-0.1074950708712408,132.4713984671524827,94.1373711737827961,2.9676104035779138,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,465.8255238781227945,259.3931771826827344,50.9306997992878436,84.7371063336160120,1.2979884895937768,-1.4054835604650175
41,265.5264198822237631,267.6955838807148211,19.5417358437919937,80.6586088251132765,-0.2003446689053161,133.0434253086100682,93.7836273074291711,2.9762080539794455,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,476.9751277657029505,265.6017918430603686,52.3123638674659261,85.0737674673238047,1.2350022927174196,-1.4353469616227357
42,272.0411831293370142,274.3542884369220474,19.5904766369885408,80.6861362820818613,-0.2766129190702944,133.4766467539602104,93.5533763118660460,2.9752897740182638,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,488.6890123230457448,272.1246240553959410,53.7473127788113487,85.4791401428247184,1.1840268385719823,-1.4606397576422767
43,278.7927533859709683,281.2168949179363153,19.6345823781598519,80.7024709268245317,-0.3370533049843207,133.8158947509038512,93.4213139551803096,2.9749645566417682,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,500.8241808867024929,278.8820466697005713,55.2157628939654117,85.9095880542605101,1.1442626867664827,-1.4813159917508034
44,285.7650588947365122,288.2701871588112112,19.6768837155723517,80.7055208914815836,-0.3824046070538736,134.0867171834882754,93.3725357366555784,2.9822313333115691,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,513.3518664584623821,285.8580408920666969,56.7225895139020793,86.3551777674959311,1.1150482804313777,-1.4974528874852513
45,292.9993670874833924,295.5544126074806854,19.7222779944732700,80.6908362453109476,-0.4131142397842825,134.2981392329898540,93.4040728396473838,2.9991137087217679,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,526.3459311188248648,293.0937365420339233,58.2900628793799100,86.8320088268824719,1.0960539481405984,-1.5091681879248808
46,300.5562189697236022,303.1308429785931935,19.7757793922395457,80.6545097393985060,-0.4302891316379993,134.4537167768228869,93.5097748487435325,2.8129646153128851,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,539.9152153992278045,300.6497410569554063,59.9464867772826295,87.3620724893275451,1.0864967687491778,-1.5167859003871769
47,307.0286883462004539,309.7049948035324860,19.7608919342382627,80.6930070344400860,-0.4538989686783652,134.8684979497353140,93.4064795402698280,2.7907247359748588,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,551.5481549164719581,307.1274993305476073,61.2004693380642664,87.3344877197646525,1.0703462129717765,-1.5242451816501414
48,313.6095134896710306,316.3859060908017682,19.7467117383880755,80.7285025873197526,-0.4752143257077887,135.2481861623293753,93.3133293471368432,2.7700856483118708,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,563.3755034639114001,313.7135135356644469,62.4758128566378090,87.3090692430678104,1.0557679886020668,-1.5309823143098553
49,320.3017060445537254,323.1768290982149097,19.7332278069822706,80.7612412583296759,-0.4944690653118974,135.5958621789046106,93.2292733009922472,2.7509283947711793,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,575.4026804938297346,320.4108014737666963,63.7732199053324962,87.2856380914241470,1.0426013699705776,-1.5370704352824749
50,327.1083168607256653,330.0810384259345369,19.7204250571718553,80.7914463869004891,-0.5118714440723096,135.9143212071030291,93.1533783614249984,2.7331434386501208,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,587.6351771195587617,327.2224208504981107,65.0933838107210363,87.2640313541322428,1.0307033102709735,-1.5425747543432831
51,334.0324354701500056,337.1018320239948025,19.7082852726453268,80.8193219261577980,-0.5276071988031792,136.2061015702660995,93.0848147142931452,2.7166298358816565,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,600.0785547452312585,334.1514685126687141,66.4369907146025724,87.2441005390888762,1.0199462968413502,-1.5475534956445292
52,341.0771899127641973,344.2425324025092550,19.6967878865623938,80.8450543302484022,-0.5418422168107836,136.4735101747668864,93.0228431362302501,2.7012944904280189,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,612.7384444191069406,341.2010800881564023,67.8047214226530883,87.2257101301899525,1.0102164979191608,-1.5520587147299445
53,348.2457468570079868,351.5064880053787988,19.6859106245523421,80.8688142284521376,-0.5547248530045649,136.7186451796065967,92.9668040983275006,2.6870514835051429,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,625.6205467925433368,348.3744299630604928,69.1972530682416931,87.2087363129253674,1.0014121564293834,-1.5561370094339482
54,355.5413119693728277,358.8970747156192829,19.6756300314877457,80.8907579146680149,-0.5663879461558514,136.9434162165582052,92.9161083395658380,2.6738214681734540,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,638.7306325869456032,355.6747315417204049,70.6152606148774282,87.1930658449678191,0.9934421938904818,-1.5598301400463330
55,362.9671304947984254,366.4176974663529336,19.6659219015966436,80.9110286764049107,-0.5769505780015255,137.1495624597618530,92.8702286870353362,2.6615311219349236,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,652.0745434875969977,363.1052377444423769,72.0594182173616105,87.1785950522529589,0.9862249936516582,-1.5631755716531839
56,370.5264880158515552,374.0717919362594444,19.6567616280921236,80.9297579837492549,-0.5865196118414825,137.3386688022062287,92.8286929376465793,2.6501126509290263,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,665.6581933968058138,370.6692417053091049,73.5304004588432747,87.1652289340727151,0.9796873376880626,-1.5662069495295452
57,378.2227113637181333,381.8628263121798341,19.6481244857297312,80.9470665557470141,-0.5951910414767873,137.5121803615496106,92.7910776467233802,2.6395033401223289,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,679.4875699899546362,378.3700776386601206,75.0288834785430225,87.1528803632062079,0.9737634752981862,-1.5689545167749732
58,386.0591696582392274,389.7943031046973488,19.6399858574250992,80.9630653191163816,-0.6030511765415153,137.6714155081147055,92.7570026939633010,2.6296451445872560,100.0000000000000284,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,693.5687365271936642,386.2111218479262220,76.5555460028112691,87.1414693691794469,0.9683943054431962,-1.5714454819847115
59,394.0392754577063101,397.8697610050573985,19.6323214141940454,80.9778562721113673,-0.6101776863054340,137.8175775827467930,92.7261265178745901,2.6204843175587911,99.9999999999999716,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,707.9078338810502373,394.1957938546963192,78.1110702903985725,87.1309224944634479,0.9635266572787310,-1.5737043435841651
