period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y,va,i,l,tbsm-1,tbsf-1
12,140.9088314439958083,138.2398668942168172,18.3454806560580650,77.7435792366247398,3.9109401073171730,47.5954160967060673,120.7003114452951138,2.3136459620248351,100.0000000000000284,1.0000000000000000,1.0135081987530057,1.0000000000000000,1.0000000000000000,253.5386987643955479,141.1820633264968023,25.3607680400389519,79.6235157058205090,4.1650414432645970,-0.2541013359474238
13,143.6834423174650794,141.0852201541612487,17.8729539352832134,78.4541122246210421,3.6729338400957210,51.6352370150167701,119.4862479180976322,1.6425476279419593,99.9999999999999716,1.0000000000000000,1.0287342512419833,1.0000000000000000,1.0000000000000000,258.4828058416669592,143.9351706110181226,25.2160964076461518,79.9750989974477733,3.9979070861889570,-0.3249732460932355
14,145.7771058849122880,143.3764754320663144,16.8731735503493532,79.8721632742184369,3.2546631754322886,55.3182531981426777,117.2920809035252887,3.5846989303111920,99.9999999999999716,1.0000000000000000,1.0053920368575835,1.0000000000000000,1.0000000000000000,262.1648618403747264,145.9855095364550550,24.1921615300265600,79.7932021567707181,3.7040500136546002,-0.4493868382223119
15,150.0844018435470844,147.9494113698657429,17.0292718550456250,80.0278026953124311,2.9429254496419177,58.7972636278721765,114.4273603526917213,2.9872231863581789,100.0000000000000284,1.0000000000000000,0.9822547706658625,1.0000000000000000,1.0000000000000000,269.8070280719428524,150.2410208336061146,25.1947074701142100,80.3510077431401868,3.4740344725154082,-0.5311090228734902
16,151.4363155616639460,149.5985962286730171,17.0938295101099698,80.1213907111859669,2.7847797787040354,62.8835465009756120,111.9298836023420023,4.2690239372932703,99.9999999999999716,1.0000000000000000,0.9726326689007874,0.9999999999999999,1.0000000000000000,272.1560122481518533,151.5490437679142701,25.5721289888471759,80.8533627338822782,3.3471025845531588,-0.5623228058491239
17,155.5935923771745593,153.7041761347616955,17.8729004857983220,79.2280391427501769,2.8990603714514998,66.6427801571617664,111.9391666180068938,3.9309173687468890,99.9999999999999716,1.0000000000000000,0.9822112347855118,0.9999999999999999,1.0000000000000000,279.6276143764320636,155.7095770907009751,27.4713944430821400,82.0071914367896397,3.4214899560997933,-0.5224295846482934
18,159.7869696162539981,157.8882173291971753,18.4061037833121510,78.6773386882992014,2.9165575283886827,70.3601712143466074,111.6389044155643688,3.7082435259407243,99.9999999999999716,1.0000000000000000,0.9884373026105826,0.9999999999999999,1.0000000000000000,287.1542390363496793,159.9007495016579128,29.0610691432334782,82.9240558771275005,3.4298706457013570,-0.5133131173126743
19,164.0084667389155015,162.1310964625372435,18.7733289317907470,78.3534967252856092,2.8731743429235856,74.0052880586859629,111.1407451674764957,3.5458210543843460,99.9999999999999716,1.0000000000000000,0.9924842466968787,0.9999999999999999,1.0000000000000000,294.7248074953766377,164.1163918505726542,30.4374040396310797,83.6535684118917118,3.3966796242765960,-0.5235052813530106
20,168.2267458023326583,166.3966755713040016,19.0242289660330997,78.1858060976202864,2.7899649363465899,77.5637752556360454,110.5013497231218622,3.4047750951312850,100.0000000000000284,1.0000000000000000,0.9951147603529712,0.9999999999999999,1.0000000000000000,302.2848984047060412,168.3261998156552011,31.6556845525521275,84.2126406718337961,3.3361847781120493,-0.5462198417654597
21,172.3774510865044647,170.6177720865903780,19.1849244385990829,78.1349139372448036,2.6801616241561521,81.0339612650213610,109.7604586601898973,3.2794034963772534,100.0000000000000284,1.0000000000000000,0.9968245942294313,0.9999999999999999,1.0000000000000000,309.7203999877914953,172.4666306866953107,32.7328906536335538,84.5857710489300700,3.2574030247838337,-0.5772414006276817
22,176.4177358370912714,174.7520545356345849,19.2752784332130673,78.1735621287475055,2.5511594380394644,84.4139899905553364,108.9303772829097312,3.1877197682032454,99.9999999999999716,1.0000000000000000,0.9979359862491303,0.9999999999999999,1.0000000000000000,316.9551307123402921,176.4952630662144770,33.6839450795039212,84.7719901690989133,3.1652755576040570,-0.6141161195645930
23,180.3945837984625484,178.8425365181991538,19.3199359804556181,78.2708833701462652,2.4091806493981336,87.6848841762591462,108.0432621227897414,3.1358459788056514,99.9999999999999716,1.0000000000000000,0.9986583910619347,0.9999999999999999,1.0000000000000000,324.0749516326281423,180.4599083568155891,34.5522635611390498,84.8328765257054442,3.0641793996835904,-0.6549987502854574
24,184.3966493272367586,182.9726222342050903,19.3431521148258128,78.3975384071858770,2.2593094779882907,90.8218879779391983,107.1327807167753718,3.1081178423682410,99.9999999999999716,1.0000000000000000,0.9991279541902576,0.9999999999999999,1.0000000000000000,331.2405081368274864,184.4500213339495076,35.3926726472478990,84.8489281223185685,2.9577670493430586,-0.6984575713547680
25,188.4778126210713083,187.1929513756247729,19.3590631444825441,78.5359410737877255,2.1049957817295435,93.8104979876677589,106.2195724071032572,3.0322410464890925,99.9999999999999716,1.0000000000000000,0.9994331702236674,0.9999999999999999,1.0000000000000000,338.5494508720807403,188.5199783903165098,36.2388016588277182,84.8638728183630917,2.8484953257175993,-0.7434995439880558
26,192.4537778494688496,191.3293070561941249,19.3463717309791718,78.7093102581486050,1.9443180108722113,96.6874054027238543,105.2618134123079017,3.0226406495955649,99.9999999999999716,1.0000000000000000,0.9996315606453838,0.9999999999999999,1.0000000000000000,345.6701887397852033,192.4851342796107474,37.0152789733978906,84.7546394012164512,2.7346852120014358,-0.7903672011292245
27,196.5432340110951372,195.5881767734947516,19.3382371719089647,78.8792573539451780,1.7825054741458504,99.4004154164854583,104.3198055698978237,3.0114456545409229,99.9999999999999716,1.0000000000000000,0.9997605144194995,0.9999999999999999,1.0000000000000000,352.9972720919484459,196.5651928697390645,37.8233055046709836,84.6799853901024306,2.6203578944666313,-0.8378524203207807
28,200.7328179116108515,199.9563079140393995,19.3332000861172979,79.0461470848732404,1.6206528290095024,101.9530408257443668,103.3950137408049557,2.9910400201042409,99.9999999999999716,1.0000000000000000,0.9998443343726747,0.9999999999999999,1.0000000000000000,360.5069151122569338,200.7469091190513950,38.6579530938340454,84.6263798653622388,2.5062392988262259,-0.8855864698167236
29,204.9847972376927885,204.3969733860490692,19.3263246182414292,79.2143925466384928,1.4592828351200582,104.3541095414844619,102.4847628794031920,2.9685785727839198,99.9999999999999716,1.0000000000000000,0.9998988173422386,0.9999999999999999,1.0000000000000000,368.1315122613375479,204.9926371392178055,39.5024225864483967,84.5667258217649618,2.3926392339003497,-0.9333563987802916
30,209.2887076085999922,208.8993700432857281,19.3163444144428489,79.3845191076911334,1.2991364778660450,106.6062547182848164,101.5915871510497084,2.9602549130888889,99.9999999999999716,1.0000000000000000,0.9999342312724551,0.9999999999999999,1.0000000000000000,375.8525135454594874,209.2920474365461416,40.3517217971625328,84.4945073580733350,2.2800626889169715,-0.9809262110509266
31,213.6951816828224082,213.5115590295412176,19.3096714444051543,79.5487588478957406,1.1415697076991609,108.6997364994819577,100.7260802020223736,2.9449236477472329,100.0000000000000284,1.0000000000000000,0.9999572503270958,0.9999999999999999,1.0000000000000000,383.7610808268825622,213.6959031484716149,41.2283805444315661,84.4407750254751903,2.1694976859780915,-1.0279279782789308
32,218.1766972134661273,218.2068122001097663,19.3021737044771946,79.7110938277894405,0.9867324677333822,110.6429411007521395,99.8847805897975292,2.9379171975758345,100.0000000000000284,1.0000000000000000,0.9999722127126123,0.9999999999999999,1.0000000000000000,391.8078500059448288,218.1767160632202547,42.1186579258675096,84.3861469250242209,2.0610010754690888,-1.0742686077357066
33,222.7644739743817865,223.0149862122258924,19.2973751188125426,79.8671880579939284,0.8354368231934660,112.4318322688982335,99.0723981490114198,2.9443173524671407,99.9999999999999716,1.0000000000000000,0.9999819382631979,0.9999999999999999,1.0000000000000000,400.0489495728863858,222.7657411178179530,43.0360384605413202,84.3477727928847116,1.9551443315390147,-1.1197075083455483
34,227.5118295191977893,227.9871741179024411,19.3010090482819479,80.0102285425298021,0.6887624091883063,114.0592312097038814,98.2963055189622423,2.9584975964899618,100.0000000000000284,1.0000000000000000,0.9999882598710786,0.9999999999999999,1.0000000000000000,408.5800670675085371,227.5162615560835775,44.0038251054186560,84.3526410305458256,1.8526995402444333,-1.1639371310561268
35,232.4524700361140503,233.1557014064452176,19.3158744096985764,80.1366397632959035,0.5474858270055191,115.5238550430112952,97.5601082305045111,2.9786607192140879,99.9999999999999716,1.0000000000000000,0.9999923689162011,0.9999999999999999,1.0000000000000000,417.4615693696160292,232.4618924462056953,45.0360624627207855,84.4128635484586312,1.7542012200963191,-1.2067153930907999
36,237.6151715282302632,238.5484195977956574,19.3440048748410511,80.2437899941420056,0.4122051310170484,116.8265998285888401,96.8654379982521618,2.9505630052737208,100.0000000000000284,1.0000000000000000,0.9999950397955307,0.9999999999999999,1.0000000000000000,426.7449149009183316,237.6312882152516295,46.1448179158538636,84.5358963651334250,1.6600460791829110,-1.2478409481658626
37,242.5373662078125676,243.7575954420335620,19.3862443575351584,80.3390299130491741,0.2747257294156459,118.1186556513333699,96.0351957980324187,2.9472260164455477,99.9999999999999716,1.0000000000000000,0.9999967758670950,0.9999999999999999,1.0000000000000000,435.6034395530300571,242.5641240880742089,47.2554430924446223,84.4696687501787267,1.5629156754964193,-1.2881899460807733
