period,rgdp,ngdp,iy,cy,tby,nfay,reer,rir,pi,tau_a,tau_s,tau_i,tau_t,y0,va0,i0,l0,y1,va1,i1,l1,y2,va2,i2,l2,tbsm0-0,tbsf0-0,tbsm1-0,tbsf1-0
0,290.6826623623924206,291.2869865431956100,24.4875186748000750,75.1851570504151852,0.3273242747852616,2.4717891058041688,99.7906608592964375,3.5600000000000076,100.2179486082123816,1.0000000000000000,0.9705831754058748,1.7749992661280953,1.0000000000000000,216.0348869511300052,83.1164184235247632,20.7064816714182065,54.8324529637434210,299.0632189938910415,191.3447141647113767,46.9623715736337886,126.2811138104022035,36.5497570170395534,16.2215518582157650,3.5342796020599017,10.6929446582219132,0.2454123595750509,0.6543354727352239,-0.5280629193535631,-0.0443606381714500
1,298.6720749159227353,289.7257291151286154,24.1455812668997361,75.4546271332351637,0.3428404693238343,2.9143824987215643,103.0003931400381987,3.7500000000000089,97.1237940122904888,1.0000000000000000,0.9429549348390140,1.9709721405769893,0.9525278584564727,222.1715290870435240,85.4774061449171967,21.0400143570802385,55.1813755869265208,307.5219057485414282,196.7566969712980551,47.5500092986272804,127.1351071464442839,37.0434085184174151,16.4406447902359076,3.5488860407439802,10.5813530645801350,0.2631229053585955,0.6933053887309174,-0.5630339572482835,-0.0505538675173952
2,306.0818724880015225,282.8415808604619883,24.1475693192999756,75.3810586939291483,0.3036515773240703,3.4616200880115802,108.0333916071506337,3.9600000000000080,92.6221776234291383,1.0000000000000000,0.9211298625063508,2.5183019719150503,0.8750885888482954,228.4044235848485584,87.8754256239953122,21.5655736842334953,55.9260055665140570,314.8208595912515193,201.4266668908130100,48.6824489716576494,128.1173033335924742,37.8659408305704517,16.8057019519135693,3.5704318051933863,10.6885068854880032,0.2481034467853951,0.7453996851291067,-0.6281532641124626,-0.0616982904779687
3,310.7253336104532764,267.3207058939873377,23.1280932442000626,76.0186957894724884,0.5772689128469942,4.1416485563349070,115.7104499279137571,2.9700000000000060,86.4920301805297669,1.0000000000000000,1.0047818915647817,1.0936486993446914,0.8109539396588861,232.6621203445401420,89.5135152418035034,20.9824040465835111,56.2708943241248249,320.1599723811870035,204.8427038549046415,47.3193020732187506,128.6708269842529830,36.9736177818129121,16.4096701916216077,3.5387346912180067,10.1435680309503962,0.3966751198341839,0.9215283781665896,-0.6771397374992567,-0.0637948476545226
4,317.4159095983827683,275.6368425273539060,22.8589959915002190,75.9812522588751449,0.9711002235085717,4.7124681452955661,114.6556699621698101,3.5699999999999843,87.2355423229894740,1.0000000000000000,0.9669020161923745,1.5816964934177817,0.8579550549640254,237.9673955827378506,91.5546461108642688,21.1816003671013462,56.6028604043424153,327.0958547649029811,209.2803757179206627,47.7464469750548943,129.2933294783411213,37.3688673754515293,16.5850902847608985,3.6175606934578819,10.0649650948236733,0.5976581582771038,1.0345310565956087,-0.6140780729791545,-0.0470109183849864
5,329.5786580426827186,277.1865339919272060,23.0675590783000999,75.3478515900128514,1.4138434197275342,5.8535617368406676,118.3444722381383372,3.5900000000000043,84.4285941535549114,1.0000000000000000,0.9461724162633451,2.0779026375896961,0.8662792610457145,248.5140428963387365,95.6123219957823096,22.0249118586002446,57.8177614176582608,338.6178169737938219,216.6522838144554726,49.9605253159252527,130.4077593683718703,39.0171489823280737,17.3166323727267901,3.8190681288994419,10.3148876092674424,0.8267348896921488,1.2060532821419587,-0.5870684874993080,-0.0318762646072654
6,337.9708396103945915,268.4924952323003708,22.5563939780002443,75.7451370233543315,1.4246472333075586,7.7720785768346135,125.0403593393022987,2.3500000000000076,79.9356403783670260,1.0000000000000000,1.0143859224680196,1.1136821056576944,0.8046214511511932,255.2192346079573895,98.1920512597827013,21.9054779394379828,58.2064962335484068,347.5801533137170054,222.3865084743111993,50.1594838624723920,131.2262765483926898,39.1940769584183073,17.3951567344066440,3.9638452956211618,10.0707148029792819,0.8535725819454205,1.2542836489533398,-0.6467328182445434,-0.0364761793466585
7,345.8630738094738035,275.3419104127984838,22.0466198366001720,76.1463405045946615,1.5798217857159067,9.1786945026110214,124.7333773853189030,2.2899999999999920,80.1278579216730833,1.0000000000000000,1.0728457908327076,0.1742670655435576,0.8293770215382603,260.8269094563756312,100.3495261734971820,21.8523869481706363,58.2475845871961013,356.4313386783331339,228.0496172287379579,50.2310955810944932,131.9886403695211641,39.3588075928242560,17.4682676589856278,4.1012597267828319,9.8229282094781318,0.9387586970971539,1.2831139437676176,-0.6142830671423248,-0.0277677880065399
8,353.8810363440079527,301.4695976802978521,22.2636765571002044,75.9948094017166937,1.6677377132538362,10.0511177383685357,116.7777768540521777,2.5600000000000067,85.5463201188321705,1.0000000000000000,1.0471697667559261,0.3292816558122755,0.9347245152621627,266.1413871677299312,102.3941975661289661,22.5801088962327192,58.2984472412859063,364.9257133094004644,233.4844336239388554,51.9217870164271531,132.7525963689030846,40.6681048706254913,18.0493613631044241,4.2594461920374433,10.0149665956002103,0.9608730458805366,1.2296485189183399,-0.5124994831123338,-0.0102843684327063
9,364.6771646601889643,326.4517847351578439,22.9444206775997728,75.2478332200238214,1.8471342164925144,11.0990979398109086,111.3064717161696109,2.5000000000000133,89.6561910398135637,1.0000000000000000,1.0276615368101478,0.7516368914049738,1.0407209226039900,274.7142956093953217,105.6925048682510493,23.8951135260677496,59.1895380655615853,375.1859337268853665,240.0490621652061805,55.0276851679219590,133.9421582253643521,43.0004558519420925,19.0845078451275256,4.5326646268045874,10.5382248060407253,1.0226106102759240,1.2464403063221301,-0.4275867925621829,0.0056700924566429
