year,ka_open
1995,0.847503662109
1996,0.830772399902
1997,0.822446882725
1998,0.823758125305
1999,0.824691712856
2000,0.831939995289
2001,0.830977022648
2002,0.797973752022
2003,0.79093837738
2004,0.802000284195
2005,0.789518713951
2006,0.774990737438
2007,0.762723445892
2008,0.758620619774
2009,0.741273522377
2010,0.736845970154
2011,0.726921617985
