year,pcrdbofgdp
1995,0.738980959277
1996,0.682430385331
1997,0.659715686013
1998,0.640980329818
1999,0.593724886047
2000,0.566337115909
2001,0.611344697313
2002,0.665394509902
2003,0.65415327993
2004,0.615571252275
2005,0.614088350048
2006,0.608222759593
2007,0.56676796422
2008,0.552738397834
2009,0.585308696678
2010,0.596234382309
2011,0.59751639964
